Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.10.05,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,DH8D,,WAW,KUN,00:45:00,,,,4,,,,,,,,,,
,2,LO796,DH8D,,KUN,WAW,06:15:00,,,,4,,,CO/P1/Y63,,,63,,1,8-9,
,3,FR7621,B738,EIENH,KUN,CPH,06:25:00,,,,2,,,183/7/1,,WCHR,8,,2,1-2-3,
,4,FR2145,B738,EIFTA,KUN,LTN,07:30:00,,,,3,,,175/10/2,,WCHR,13,,5,1-2-3,
,5,SRN6912,AT72,,EDDK,KUN,07:20:00,,,,9,,,,,,,,,,
,6,SRN6912,AT72,,KUN,EVRA,08:05:00,,,,9,,,,,,,,,,
,7,SAR802,SF34,,WAW,KUN,09:35:00,,,,9,,,,,,,,,,
,8,W68122,A320,GWUKB,LTN,KUN,10:40:00,,,,4,,,,,WCHS,,,,,
,9,W68121,A320,GWUKB,KUN,LTN,11:10:00,,,,4,,,181/8/2,,WCHC/WCMP,21,,5,4-5-6,
,10,FR4480,B738,EIDYY,GRO,KUN,12:15:00,,,,8,,,,,,,,,,
,11,FR4481,B738,EIDYY,KUN,GRO,12:40:00,,,,8,,,161/9/2,,,19,,2,1-2-3,
,12,W68152,A321,HALXR,EIN,KUN,12:50:00,,,,4,,,,,,,,,,
,13,W68151,A321,HALXR,KUN,EIN,13:25:00,,,,4,,,180/8/4,,,18,,2,4-5-6,
,14,FR2144,B738,EIFTA,LTN,KUN,13:35:00,,,,2,,,,,,,,,,
,15,FR2972,B738,EIFTA,KUN,DUB,15:40:00,,,,2,,,176/13/0,,,25,,5,1-2-3,
,16,W68144,A320,HALYD,BGO,KUN,14:25:00,,,,4,,,,,,,,,,
,17,W68143,A320,HALYD,KUN,BGO,14:55:00,,,,4,,,145/7/4,,,28,,2,4-5-6,
,18,FR7620,B738,EIENH,CPH,KUN,14:40:00,,,,8,,,,,,,,,,
,19,FR2747,B738,EIENH,KUN,STN,17:10:00,,,,8,,,180/6/1,,,17,,5,1-2-3,
,20,W68142,A321,HALTC,AES,KUN,18:55:00,,,,4,,,,,,,,,,
,21,W68141,A321,HALTC,KUN,AES,19:30:00,,,,4,,,175/11/2,,,33,,2,4-5-6,
,22,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,
,23,SRN6911,AT72,,EVRA,KUN,21:15:00,,,,9,,,,,,,,,,
,24,SRN6911,AT72,,KUN,EDDK,21:50:00,,,,9,,,,,,,,,,
,25,FR2971,B738,EIFTA,DUB,KUN,22:55:00,,,,3,,,,,WCAP/WCHR,,,,,
,26,FR2746,B738,EIENH,STN,KUN,23:00:00,,,,2,,,,,,,,,,
,,,,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
