Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.10.08,,,,,,,Renatas Venckūnas,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojamas,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,E75S,SPLDK,WAW,KUN,00:45:00,,,,4,,,,,,,,,,
,2,LO796,E75S,SPLDK,KUN,WAW,06:15:00,,,,4,,,2C/3P/61Y,,,66,,1,8-9,
,3,FR7621,B738,EIFTA,KUN,CPH,06:25:00,,,,3,,,194/3/1,,,27,,2,1-2-3,
,4,FR2145,B738,EIENH,KUN,LTN,07:30:00,,,,2,,,182/10/2,,,23,,5,1-2-3,
,5,SRN6912,AT72,,CGN,KUN,07:30:00,,,,9,,,,,,,,,,
,6,SRN6912,AT72,,KUN,RIX,08:05:00,,,,9,,,,,,,,,,
,9,SAR802,SF34,,WAW,KUN,09:20:00,,,,9,,,,,,,,,,
,10,W68122,A320,GWUKF,LTN,KUN,10:40:00,,,,4,,,,,,,,,,
,11,W68121,A320,GWUKF,KUN,LTN,11:10:00,,,,4,,,173/16/3,,,26,,5,4-5-6,
,12,FR4480,B738,EIGJY,GRO,KUN,12:15:00,,,,7,,,,,,,,,,
,13,FR4481,B738,EIGJY,KUN,GRO,12:40:00,,,,7,,,162/17/5,,,10,,2,1-2-3,
,14,W68152,A321,HALXS,EIN,KUN,12:50:00,,,,4,,,,,,,,,,
,15,W68151,A321,HALXS,KUN,EIN,13:25:00,,,,4,,,228/4/5,,WCHC,33,,2,4-5-6,
,16,FR2144,B738,EIENH,LTN,KUN,13:35:00,,,,2,,,,,WCHC;WCHS/WCMP,,,,,
,17,FR2972,B738,EIENH,KUN,DUB,15:20:00,,,,2,,,186/6/2,,,29,,5,1-2-3,
,18,W68144,A320,HALWX,BGO,KUN,14:25:00,,,,4,,,,,,,,,,
,19,W68143,A320,HALWX,KUN,BGO,14:55:00,,,,4,,,173/3/2,,WCHS,46,,2,4-5-6,
,20,FR7620,B738,EIFTA,CPH,KUN,14:35:00,,,,7,,,,,,,,,,
,21,FR2747,B738,EIFTA,KUN,STN,17:10:00,,,,7,,,172/12/5,,,6,,5,1-2-3,
,22,W68142,A321,HALXW,AES,KUN,18:55:00,,,,4,,,,,,,,,,
,23,W68141,A321,HALXW,KUN,AES,19:30:00,,,,4,,,200/8/12,,,64,,2,4-5-6,
,24,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,
,25,SRN6911,AT72,,RIX,KUN,21:05:00,,,,9,,,,,,,,,,
,26,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,
,27,FR2971,B738,EIENH,DUB,KUN,22:05:00,,,,3,,,,,DPNA,,,,,
,28,FR2746,B738,EIFTA,STN,KUN,23:00:00,,,,2,,,,,WCHC,,,,,
,,,,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
