Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.11.30,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,DH8D,,WAW,KUN,00:45:00,,,,7,,,,,,,,,,
,2,LO796,DH8D,,KUN,WAW,06:30:00,,,,7,,,0C/0P/44Y,,,44,,1,8-9,
,3,FR7621,B738,EIEVA,KUN,CPH,06:20:00,,,,2,,,165/8/2,,,31,,2,1-2-3,
,4,FR2145,B738,EIDWJ,KUN,STN,06:40:00,,,,3,,,172/9/0,,,43,,6,1-2-3,
,5,SWN7842,ATP,,CGN,KUN,06:55:00,,,,8,,,,,,,,,,
,6,SWN7843,ATP,,KUN,CGN,08:00:00,,,,8,,,,,,,,,,
,7,SRN6912,AT72,,CGN,KUN,07:20:00,,,,9,,,,,,,,,,
,8,SRN6912,AT72,,KUN,RIX,08:05:00,,,,9,,,,,,,,,,
,9,SAR802,SF34,,WAW,KUN,09:35:00,,,,9,,,,,,,,,,
,10,W98122,A320,GWUKF,LTN,KUN,10:40:00,,,,4,,,,,,,,,,
,11,W98121,A320,GWUKF,KUN,LTN,11:05:00,,,,4,,,181/5/3,,,80,,5,4-5-6,
,12,W68148,A320,HALPN,TKU,KUN,11:10:00,,,,7,,,,,,,,,,
,13,W68147,A320,HALPN,KUN,TKU,11:40:00,,,,7,,,78/9/0,,,49,,1,4-5-6,
,14,W68152,A321,HALTC,EIN,KUN,12:50:00,,,,4,,,,,,,,,,
,15,W68151,A321,HALTC,KUN,EIN,13:25:00,,,,4,,,208/7/5,,,74,,2,4-5-6,
,16,FR2144,B738,EIDWJ,STN,KUN,12:20:00,,,,2,,,,,WCHR,,,,,
,17,FR3467,B738,EIDWJ,KUN,LTN,15:55:00,,,,2,,,165/14/1,,WCHR,45,,6,1-2-3,
,18,FR7620,B738,EIEVA,CPH,KUN,14:40:00,,,,5,,,,,,,,,,
,19,FR2972,B738,EIEVA,KUN,DUB,15:40:00,,,,5,,,178/11/2,,WCHR,68,,5,1-2-3,
,20,W68144,A320,HALPO,BGO,KUN,18:20:00,,,,4,,,,,,,,,,
,21,W68143,A320,HALPO,KUN,BGO,18:50:00,,,,4,,,121/11/2,,,62,,2,4-5-6,
,22,W68142,A320,HALPZ,AES,KUN,19:45:00,,,,7,,,,,,,,,,
,23,W68141,A320,HALPZ,KUN,AES,20:30:00,,,,7,,,127/10/4,,,47,,2,4-5-6,
,24,KLJ1166,B735,LYKLJ,RNS,KUN,19:50:00,,,,6,,,,,,,,,,
,25,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,
,26,FR8681,B738,EIDPF,BRS,KUN,20:30:00,,,,4,,,,,WCHS,,,,,
,27,FR8682,B738,EIDPF,KUN,BRS,20:55:00,,,,4,,,171/17/6,,,43,,5,1-2-3,
,28,SRN6911,AT72,,RIX,KUN,21:15:00,,,,9,,,,,,,,,,
,29,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,
,30,FR3466,B738,EIDWJ,LTN,KUN,21:50:00,,,,2,,,,,,,,,,
,31,FR2971,B738,EIEVA,DUB,KUN,22:30:00,,,,5,,,,,,,,,,
,,,,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
