Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistė,,,,,,,,,
,,,,,2018.12.17,,,,,,,Ugnė Kilimaitė,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojamas,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,DH8D,SPEQK,WAW,KUN,00:45:00,,,,7,,,,,,,,,,
,2,LO796,DH8D,SPEQK,KUN,WAW,06:15:00,,,,7,,,1C/0P/31Y,,,,,1,8-9,
,3,FR7621,B738,EIEVL,KUN,CPH,06:20:00,,,,2,,,116/7/1,,WCHS,30,,2,1-2-3,
,4,FR2145,B738,EIFOH,KUN,STN,06:40:00,,,,5,,,139/12/3,,WCHS,29,,5,1-2-3,
,5,SRN6912,AT72,,CGN,KUN,07:30:00,,,,9,,,,,,,,,,
,6,SRN6912,AT72,,KUN,RIX,08:05:00,,,,9,,,,,,,,,,
,7,SAR802,SF34,,WAW,KUN,09:20:00,,,,9,,,,,,,,,,
,8,W98122,A320,GWUKF,LTN,KUN,10:30:00,,,,4,,,,,WCHC,,,,,
,9,W98121,A320,GWUKF,KUN,LTN,11:05:00,,,,4,,,93/6/2,,,44,,5,4-5-6,
,10,W68148,A320,HALYL,TKU,KUN,11:10:00,,,,7,,,,,,,,,,
,11,W68147,A320,HALYL,KUN,TKU,11:40:00,,,,7,,,125/2/1,,,56,,2,4-5-6,
,12,FR2144,B738,EIFOH,STN,KUN,12:20:00,,,,2,,,,,WCHS,,,,,
,13,FR3467,B738,EIFOH,KUN,LTN,15:55:00,,,,2,,,144/6/2,,,23,,6,1-2-3,
,14,W68152,A321,HALXS,EIN,KUN,12:50:00,,,,4,,,,,,,,,,
,15,W68151,A321,HALXS,KUN,EIN,13:25:00,,,,4,,,137/7/3,,,47,,2,4-5-6,
,16,FR7620,B738,EIEVL,CPH,KUN,14:40:00,,,,7,,,,,,,,,,
,17,FR2972,B738,EIEVL,KUN,DUB,15:40:00,,,,7,,,165/15/3,,3* WCHR,79,,5,1-2-3,
,18,BDI311,C550,OYVIP,BLL,KUN,14:30:00,,,,6,,,,,,,,,,
,19,BDI312,C550,OYVIP,KUN,BLL,18:30:00,,,,6,,,,,,,,,,
,20,W68144,A320,HALPN,BGO,KUN,18:20:00,,,,4,,,,,WCHS,,,,,
,21,W68143,A320,HALPN,KUN,BGO,18:50:00,,,,4,,,79/11/1,,,43,,2,4-5-6,
,22,FR7949,B738,EIEPF,BLQ,KUN,19:30:00,,,,4,,,,,,,,,,
,23,FR7950,B738,EIEPF,KUN,BLQ,19:55:00,,,,4,,,130/6/1,,,20,,2,1-2-3,
,24,W68142,A320,HALWK,AES,KUN,19:45:00,,,,7,,,,,,,,,,
,25,W68141,A320,HALWK,KUN,AES,20:30:00,,,,7,,,81/5/4,,,35,,2,4-5-6,
,26,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,
,27,FR8681,B738,EIDHZ,BRS,KUN,20:30:00,,,,4,,,,,,,,,,
,28,FR8682,B738,EIDHZ,KUN,BRS,20:55:00,,,,4,,,161/12/1,,WCHC/ WCMP,58,,5,1-2-3,
,29,SRN6911,AT72,,RIX,KUN,21:05:00,,,,9,,,,,,,,,,
,30,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,
,31,FR3466,B738,EIFOH,LTN,KUN,21:25:00,,,,5,,,,,WCHC; WCHC/ WCMP; WCHS,,,,,
,32,FR2971,B738,EIEVL,DUB,KUN,22:30:00,,,,2,,,,,2* WCHR,,,,,
,,,,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
