Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.11.23,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,DH8D,,WAW,KUN,00:45:00,,,,7,,,,,,,,,,
,2,LO796,DH8D,,KUN,WAW,06:30:00,,,,7,,,0C/0P/13Y,,,13,,1,8-9,
,3,FR7621,B738,EIDWE,KUN,CPH,06:20:00,,,,5,,,192/4/1,,,56,,2,1-2-3,
,4,FR2145,B738,EIDWR,KUN,STN,06:40:00,,,,2,,,177/6/5,,,46,,6,1-2-3,
,5,SWN7842,ATP,,CGN,KUN,06:55:00,,,,7,,,,,,,,,,
,6,SWN7843,ATP,,KUN,CGN,08:00:00,,,,7,,,,,,,,,,
,7,SRN6912,AT72,,CGN,KUN,07:20:00,,,,9,,,,,,,,,,
,8,SRN6912,AT72,,KUN,RIX,08:05:00,,,,9,,,,,,,,,,
,9,SAR802,SF34,,WAW,KUN,09:35:00,,,,9,,,,,,,,,,
,10,GAF671,GL5T,1404,TXL,KUN,09:50:00,,,,13,,,,,,,,,,
,11,GAF671,GL5T,1404,KUN,VNO,14:25:00,,,,13,,,,,,,,,,
,12,W98122,A320,GWUKD,LTN,KUN,10:40:00,,,,4,,,,,WCHR,,,,,
,13,W98121,A320,GWUKD,KUN,LTN,11:05:00,,,,4,,,174/8/5,,,88,,5,4-5-6,
,14,W68148,A320,HALWA,TKU,KUN,11:10:00,,,,7,,,,,,,,,,
,15,W68147,A320,HALWA,KUN,TKU,11:40:00,,,,7,,,114/5/0,,,32,,1,4-5-6,
,16,W68152,A321,HALXS,EIN,KUN,12:50:00,,,,4,,,,,,,,,,
,17,W68151,A321,HALXS,KUN,EIN,13:25:00,,,,4,,,208/4/2,,,91,,2,4-5-6,
,18,FR2144,B738,EIFOR,STN,KUN,12:20:00,,,,2,,,,,,,,,,
,19,FR3467,B738,EIFOR,KUN,LTN,15:55:00,,,,2,,,174/9/1,,WCHR,56,,6,1-2-3,
,20,FR7620,B738,EIDWE,CPH,KUN,14:40:00,,,,5,,,,,,,,,,
,21,FR2972,B738,EIDWE,KUN,DUB,15:40:00,,,,5,,,183/7/4,,,73,,5,1-2-3,
,22,W68144,A320,HALPO,BGO,KUN,18:20:00,,,,4,,,,,,,,,,
,23,W68143,A320,HALPO,KUN,BGO,18:50:00,,,,4,,,174/11/1,,,66,,2,4-5-6,
,24,W68142,A320,HALWE,AES,KUN,19:45:00,,,,4,,,,,,,,,,
,25,W68141,A320,HALWE,KUN,AES,20:30:00,,,,4,,,156/10/2,,,88,,1,4-5-6,
,26,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,
,27,FR8691,B738,EIDPF,BRS,KUN,20:30:00,,,,7,,,,,,,,,,
,28,FR8682,B738,EIDPF,KUN,BRS,20:55:00,,,,7,,,174/13/3,,2*WCHC; WCHS; WCHS/WCMP,53,,5,1-2-3,
,29,SRN6911,AT72,,RIX,KUN,21:15:00,,,,9,,,,,,,,,,
,30,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,
,31,FR3466,B738,EIFOR,LTN,KUN,21:50:00,,,,2,,,,,,,,,,
,32,FR2971,B738,EIDWE,DUB,KUN,22:30:00,,,,5,,,,,,,,,,
,,,,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
