Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.12.01,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,LO795,E170,,WAW,KUN,00:45:00,,,,8,,,,,,,,,,,,
,2,LO796,E170,,KUN,WAW,06:15:00,,,,8,,,C0/P0/Y38,,,38,,1,8-9,,,
,3,FR7621,B738,EIEVA,KUN,CPH,06:20:00,,,,2,,,189/4/0,,,24,,2,1-2-3,,,
,4,FR2836,B738,EIEXF,KUN,TLV,08:00:00,,,,3,,,117/15/2,,,37,,5,1-2-3,,,
,5,OS1475,A320,OELBW,VIE,KUN,08:50:00,,,,14,,,,,,,,,,,,
,6,W98122,A320,GWUKE,LTN,KUN,10:30:00,,,,4,,,,,,,,,,,,
,7,W98121,A320,GWUKE,KUN,LTN,11:05:00,,,,4,,,165/10/5,,,75,,5,4-5-6,,,
,8,W68146,A320,HALPN,SVG,KUN,12:15:00,,,,4,,,,,WCHC,,,,,,,
,9,W68145,A320,HALPN,KUN,SVG,12:45:00,,,,4,,,170/4/6,,,86,,2,4-5-6,,,
,10,OS1492,A320,OELBJ,KUN,VIE,14:00:00,,,,16R,,,,,,,,,,,,
,11,FR7620,B738,EIEVA,CPH,KUN,14:40:00,,,,2,,,,,,,,,,,,
,12,FR3467,B738,EIEVA,KUN,LTN,15:30:00,,,,2,,,176/8/5,,WCHS,22,,6,1-2-3,,,
,13,FR2144,B738,EIDHE,STN,KUN,15:00:00,,,,4,,,,,,,,,,,,
,14,FR2145,B738,EIDHE,KUN,STN,15:25:00,,,,4,,,181/5/2,,,26,,5,1-2-3,,,
,15,YUPNK,C56X,YUPNK,BUD,KUN,16:30:00,,,,6,,,,1,,,,,,,,
,16,FR2837,B738,EIEXF,TLV,KUN,16:40:00,,,,4,,,,,,,,,,,,
,17,FR1794,B738,EIEXF,KUN,MXP,17:30:00,,,,4,,,159/8/1,,,30,,2,1-2-3,,,
,18,FR9098,B738,EIEKC,ALC,KUN,19:00:00,,,,4,,,,,,,,,,,,
,19,FR9099,B738,EIEKC,KUN,ALC,19:25:00,,,,4,,,179/12/1,,,46,,1,1-2-3,,,
,20,FR3466,B738,EIEVA,LTN,KUN,21:25:00,,,,2,,,,,,,,,,,,
,21,FR1793,B738,EIEXF,MXP,KUN,23:05:00,,,,3,,,,,WCHC/WCMP,,,,,,,
,,,,,,,,,,,,,,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
